Date,MGRZ
"1989 MAR",26660
"1989 APR",26709
"1989 MAY",26730
"1989 JUN",26750
"1989 JUL",26775
"1989 AUG",26795
"1989 SEP",26820
"1989 OCT",26850
"1989 NOV",26880
"1989 DEC",26890
"1990 JAN",26900
"1990 FEB",26900
"1990 MAR",26910
"1990 APR",26922
"1990 MAY",26935
"1990 JUN",26945
"1990 JUL",26930
"1990 AUG",26900
"1990 SEP",26855
"1990 OCT",26805
"1990 NOV",26750
"1990 DEC",26685
"1991 JAN",26615
"1991 FEB",26530
"1991 MAR",26450
"1991 APR",26365
"1991 MAY",26275
"1991 JUN",26190
"1991 JUL",26105
"1991 AUG",26025
"1991 SEP",25955
"1991 OCT",25885
"1991 NOV",25820
"1991 DEC",25775
"1992 JAN",25740
"1992 FEB",25710
"1992 MAR",25685
"1992 APR",25636
"1992 MAY",25605
"1992 JUN",25542
"1992 JUL",25525
"1992 AUG",25509
"1992 SEP",25454
"1992 OCT",25406
"1992 NOV",25336
"1992 DEC",25301
"1993 JAN",25274
"1993 FEB",25282
"1993 MAR",25258
"1993 APR",25286
"1993 MAY",25293
"1993 JUN",25293
"1993 JUL",25278
"1993 AUG",25316
"1993 SEP",25320
"1993 OCT",25319
"1993 NOV",25320
"1993 DEC",25322
"1994 JAN",25362
"1994 FEB",25408
"1994 MAR",25451
"1994 APR",25455
"1994 MAY",25451
"1994 JUN",25516
"1994 JUL",25517
"1994 AUG",25559
"1994 SEP",25561
"1994 OCT",25594
"1994 NOV",25600
"1994 DEC",25583
"1995 JAN",25638
"1995 FEB",25670
"1995 MAR",25705
"1995 APR",25733
"1995 MAY",25770
"1995 JUN",25791
"1995 JUL",25838
"1995 AUG",25852
"1995 SEP",25869
"1995 OCT",25891
"1995 NOV",25982
"1995 DEC",25987
"1996 JAN",25981
"1996 FEB",25970
"1996 MAR",25977
"1996 APR",26002
"1996 MAY",26009
"1996 JUN",26006
"1996 JUL",26063
"1996 AUG",26062
"1996 SEP",26120
"1996 OCT",26177
"1996 NOV",26198
"1996 DEC",26258
"1997 JAN",26324
"1997 FEB",26381
"1997 MAR",26428
"1997 APR",26450
"1997 MAY",26514
"1997 JUN",26493
"1997 JUL",26509
"1997 AUG",26572
"1997 SEP",26603
"1997 OCT",26622
"1997 NOV",26636
"1997 DEC",26632
"1998 JAN",26658
"1998 FEB",26677
"1998 MAR",26707
"1998 APR",26708
"1998 MAY",26714
"1998 JUN",26770
"1998 JUL",26824
"1998 AUG",26834
"1998 SEP",26878
"1998 OCT",26939
"1998 NOV",26955
"1998 DEC",27000
"1999 JAN",27018
"1999 FEB",27036
"1999 MAR",27042
"1999 APR",27058
"1999 MAY",27095
"1999 JUN",27115
"1999 JUL",27170
"1999 AUG",27218
"1999 SEP",27212
"1999 OCT",27270
"1999 NOV",27322
"1999 DEC",27307
